,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
0,01-Jan-14,6323.8,6327.2,6298.25,6301.65,69567668,2015.36
1,02-Jan-14,6301.25,6358.3,6211.3,6221.15,158132556,5249.79
2,03-Jan-14,6194.55,6221.7,6171.25,6211.15,139043889,5369.42
3,06-Jan-14,6220.85,6224.7,6170.25,6191.45,118344976,4722.67
4,07-Jan-14,6203.9,6221.5,6144.75,6162.25,138559000,5696.6
5,08-Jan-14,6178.05,6192.1,6160.35,6174.6,146912639,5816.54
6,09-Jan-14,6181.7,6188.05,6148.25,6168.35,150064466,5908.02
7,10-Jan-14,6178.85,6239.1,6139.6,6171.45,159920407,7347.29
8,13-Jan-14,6189.55,6288.2,6189.55,6272.75,135009945,5984.02
9,14-Jan-14,6260.25,6280.35,6234.15,6241.85,110231153,4703.01
10,15-Jan-14,6265.95,6325.2,6265.3,6320.9,145922867,6422.97
11,16-Jan-14,6341.35,6346.5,6299.85,6318.9,153420441,6758.63
12,17-Jan-14,6306.25,6327.1,6246.35,6261.65,167719501,7895.92
13,20-Jan-14,6261.75,6307.45,6243.35,6303.95,122136071,5499.51
14,21-Jan-14,6320.15,6330.3,6297.9,6313.8,141728380,5831.26
15,22-Jan-14,6309.05,6349.95,6287.45,6338.95,137490525,5635.92
16,23-Jan-14,6325.95,6355.6,6316.4,6345.65,120054602,5278.88
17,24-Jan-14,6301.65,6331.45,6263.9,6266.75,160270856,6209.06
18,27-Jan-14,6186.3,6188.55,6130.25,6135.85,190442601,7091.1
19,28-Jan-14,6131.85,6163.6,6085.95,6126.25,184111740,7710.08
20,29-Jan-14,6161,6170.45,6109.8,6120.25,146733030,6487.39
21,30-Jan-14,6067,6082.85,6027.25,6073.7,208061426,7694.04
22,31-Jan-14,6082.75,6097.85,6067.35,6089.5,146713083,5407.1
23,03-Feb-14,6058.8,6074.85,5994.45,6001.8,134893587,4635.69
24,04-Feb-14,5947.6,6017.8,5933.3,6000.9,183252654,6075.02
25,05-Feb-14,6004.25,6028.05,5962.05,6022.4,166627311,5572.13
26,06-Feb-14,6028.35,6048.35,5965.4,6036.3,185503324,6291.97
27,07-Feb-14,6077.65,6079.95,6030.9,6063.2,181932292,5591.39
28,10-Feb-14,6072.8,6083.05,6046.4,6053.45,133070328,4762.89
29,11-Feb-14,6072.45,6081.85,6053.25,6062.7,150520900,5268.8
30,12-Feb-14,6085.35,6106.6,6077.4,6084,138547391,5351.08
31,13-Feb-14,6087.55,6094.4,5991.1,6001.1,153652371,5037.18
