Date,hawkish_share,dovish_share,neutral_share,macro_tone_signal,macro_tone_signal_ema
2016-04-01,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.002392344497607668,0.002392344497607668
2016-10-01,0.2152777777777778,0.3055555555555556,0.4791666666666667,-0.09027777777777779,-0.05938773701931597
2017-04-01,0.32179226069246436,0.2830957230142566,0.395112016293279,0.03869653767820774,-0.00333958004930242
2017-10-01,0.22112211221122113,0.297029702970297,0.48184818481848185,-0.07590759075907588,-0.04204251909451493
2018-04-01,0.3253588516746411,0.2966507177033493,0.37799043062200954,0.02870813397129185,-0.005526052996034011
2018-10-01,0.36984352773826457,0.2361308677098151,0.3940256045519203,0.13371266002844948,0.06519837266719569
2019-04-01,0.35,0.28484848484848485,0.36515151515151517,0.06515151515151513,0.06517475943094722
2019-10-01,0.2504145936981758,0.4096185737976783,0.33996683250414594,-0.15920398009950248,-0.04745456864708244
2020-04-01,0.2924137931034483,0.34344827586206894,0.3641379310344828,-0.05103448275862066,-0.0492480285542327
2020-10-01,0.2948905109489051,0.32408759124087594,0.381021897810219,-0.029197080291970823,-0.03921275435063731
2021-04-01,0.3545994065281899,0.2774480712166172,0.36795252225519287,0.0771513353115727,0.01899771356050243
2021-10-01,0.3055555555555556,0.2847222222222222,0.4097222222222222,0.02083333333333337,0.019915747576316294
2022-04-01,0.4132730015082956,0.23227752639517346,0.35444947209653094,0.18099547511312214,0.10046544407134214
2022-09-01,0.4185303514376997,0.2476038338658147,0.33386581469648563,0.17092651757188498,0.13569813125418087
2023-04-01,0.39191564147627417,0.26537785588752194,0.3427065026362039,0.12653778558875223,0.13111781864141855
2023-10-01,0.38461538461538464,0.25040916530278234,0.3649754500818331,0.1342062193126023,0.13266204253999717
2024-04-01,0.34507042253521125,0.3126760563380282,0.34225352112676055,0.032394366197183055,0.08252782187484113
2024-10-01,0.36194563662374823,0.28183118741058655,0.3562231759656652,0.08011444921316169,0.0813211309408408
2025-04-01,0.3469656992084433,0.32189973614775724,0.3311345646437995,0.025065963060686036,0.05319349335155232
2025-10-01,0.3161764705882353,0.3067226890756303,0.37710084033613445,0.009453781512605008,0.03132361657533888
