Date,ret_1d,ret_5d,vol_5d,vol_10d,mom_10d,mom_20d,drawdown_20d,Risk_Off,hawkish_share,dovish_share,neutral_share,macro_tone_signal,macro_tone_signal_ema
2016-04-01,-0.0032758709810812,-0.0004470938897168,0.0114033857025175,0.0092232378702363,0.0285780963493915,0.0679492682386497,-0.0032758709810812,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-04,0.0059315056948936,0.0188704022271539,0.00882243367105,0.0092636377277955,0.0327784840034341,0.052918705089668,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-05,-0.0200546476259215,0.0008161116230089,0.0139544788603553,0.0112153203675464,-0.0001512292306378,0.017068864037669,-0.0200546476259215,1,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-06,0.0014664877946128,-0.0156233840107559,0.0100281838076334,0.0102684200709837,-0.0116688840575006,0.0172336630885663,-0.0186175697272773,1,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-07,-0.008917373117863,-0.0248048692236121,0.0100780655783552,0.0105027991586539,-0.0218343724481198,0.0081693452500233,-0.0273689230293344,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-08,0.0011594855859378,-0.0204653152773546,0.0104526968470066,0.0105308769813515,-0.0209032592496598,0.0031068270532939,-0.0262411713151519,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-11,0.0153801355357898,-0.0112646285508068,0.0132070223049768,0.0110460852826752,0.0073932056046537,0.0247456970538928,-0.0112646285508068,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-12,0.0048948040774825,0.0139086174242424,0.0087237368020049,0.0110536601559379,0.0147360800315914,0.0264640089478309,-0.0064249626230861,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-13,0.0183552883336901,0.0310072429032024,0.011041602640422,0.0110812149554613,0.014899420829455,0.0413463770518984,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-18,0.0081842442152997,0.0487977790881806,0.00716677091973,0.0112647505515681,0.0227824873358835,0.0608664182505427,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-20,6.317358838714426e-06,0.0475897395171538,0.0075161312002576,0.0111308548857819,0.0261504852166134,0.0554759126521087,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-21,-0.0003411352222116,0.0313697630158771,0.0076573162699977,0.0111015002367973,0.0197517657369696,0.0531776826776526,-0.0003411352222116,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-22,-0.0016114660549415,0.0246920786877591,0.0084505343550217,0.0081739222917915,0.0389441287878788,0.0387870100666065,-0.0019520515493224,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-25,-0.0056017621814591,0.0005859536714456,0.0050247855501488,0.0086928084254327,0.0316113653824685,0.0195736119674205,-0.0075428788022362,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-26,0.0136981941553522,0.0060583471262334,0.0073172507547119,0.0081277450871372,0.0551517600991193,0.032113183579826,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-27,0.002166364212919,0.0082314665655895,0.0072906571164252,0.008075272457514,0.0562129394324437,0.0341346465366421,0.0,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
2016-04-28,-0.0166230153260065,-0.008190039243938,0.0110671281840227,0.0098720659363694,0.0229228041817661,0.030485482790771,-0.0166230153260065,0,0.2966507177033493,0.2942583732057416,0.4090909090909091,0.0023923444976076,0.0023923444976076
