Date,ret_1d,ret_5d,vol_5d,vol_10d,mom_10d,mom_20d,drawdown_20d,Risk_Off
2014-02-04,-0.00014995501349601703,-0.020461130381554837,0.006867832638586336,0.008363402065109627,-0.04955811080490358,-0.026183617996673347,-0.05432855578230755,1
2014-02-05,0.0035827959139462795,-0.015987908990645838,0.007646209919656548,0.008316221411797664,-0.04993729245379763,-0.024649369999676263,-0.050940407996028725,1
2014-02-06,0.002308049946865065,-0.006157696297149906,0.0075003747045565596,0.008427441429923566,-0.048749931055132145,-0.021407669798244267,-0.048749931055132145,1
2014-02-07,0.0044563722810331274,-0.00431890959848924,0.00777692970810146,0.008454108572658254,-0.03248095105118287,-0.017540448354924743,-0.04451080661555551,1
2014-02-10,-0.0016080617495711769,0.00860575160785082,0.002543435081579787,0.005756311575235732,-0.013429272227971745,-0.034960742895859154,-0.04604729223956561,1
2014-02-11,0.0015280542500557548,0.010298455231715353,0.0023377587841846995,0.0058253366709267815,-0.01037339318506425,-0.028701426660365237,-0.044589600750120084,1
2014-02-12,0.0035132861596318676,0.01022848034006385,0.002326570426889634,0.006000028604143321,-0.0059229606633716125,-0.037478840038602024,-0.041232970617667175,1
2014-02-13,-0.01362590401051933,-0.005831386776667835,0.007351999492942119,0.007001908647007393,-0.011953175165055785,-0.05029356375318472,-0.054297038128481634,1
2014-02-14,0.007873556514639057,-0.0024492017416545275,0.008121676678203646,0.00749907094072056,-0.006757533459233023,-0.034064503764981935,-0.04685099241212476,1
2014-02-17,0.004125091967230654,0.0032791218230927566,0.008321980989325808,0.005826909810717865,0.01191309273884511,-0.03658817090871591,-0.042919165097350054,0
2014-02-18,0.008858445984884611,0.010622329984990353,0.009115934200453759,0.006274146849493567,0.02103017880651259,-0.02957014792993118,-0.03444091621819656,0
2014-02-19,0.004186319792397697,0.011300131492439247,0.009146036937480426,0.00629285732609917,0.02164419500531345,-0.029373949944391353,-0.030398777115031472,0
2014-02-20,-0.009963024663768305,0.01505557314492334,0.007562817678944289,0.0073660308348518725,0.00913639149810308,-0.040058938012654366,-0.027973032273507004,0
2014-02-21,0.010506529644009222,0.017707308604826055,0.008060863852854264,0.0079154312292214,0.015214738092096614,-0.017760402122312224,0.0,0
2014-02-24,0.004979327262832234,0.01857309864488821,0.008085309595555415,0.007898475882634778,0.02191312392106992,0.008189574386596732,0.0,0
2014-02-25,0.002255055689368124,0.01190612198266705,0.0075568647908943925,0.00789496760712,0.02265492272419878,0.012046521118139086,0.0,0
2014-02-26,0.006249949597180615,0.01398561618788352,0.007733592738495486,0.00798968205512622,0.025443786982248584,0.019370123769453906,0.0,0
2014-02-28,0.006114958004744375,0.030452519515058007,0.0029769380544270832,0.0056451536951737215,0.04596657279498739,0.03346395113357592,0.0,0
2014-03-03,-0.008841873840001901,0.010722205525184991,0.006351533036398985,0.006880863240071952,0.028619375532169755,0.02166844568519588,-0.008841873840001901,0
2014-03-04,0.012296168899533111,0.01808085869934195,0.007835473775578661,0.007506233413918202,0.0369897749164374,0.04934353027425109,0.0,0
2014-03-05,0.004874602053049015,0.020741768211546496,0.007809355262097742,0.007302887759648775,0.032894844216676544,0.054616807478878204,0.0,0
2014-03-06,0.011455839713050864,0.026022632557543002,0.008479480884074362,0.0077526648494431055,0.040372191296574655,0.06289020988310301,0.0,0
